store_id,store_name,city,store_type,opening_date
9,BlueMart Store 09,Abu Dhabi,Mall,"domingo, 1 de enero de 2017"
10,BlueMart Store 10,Abu Dhabi,Mall,"martes, 31 de enero de 2017"
11,BlueMart Store 11,Dubai,Mall,"jueves, 2 de marzo de 2017"
12,BlueMart Store 12,Sharjah,Mall,"sábado, 1 de abril de 2017"
13,BlueMart Store 13,Sharjah,Community,"lunes, 1 de mayo de 2017"
14,BlueMart Store 14,Dubai,Mall,"miércoles, 31 de mayo de 2017"
15,BlueMart Store 15,Dubai,Mall,"viernes, 30 de junio de 2017"
16,BlueMart Store 16,Dubai,High Street,"domingo, 30 de julio de 2017"
17,BlueMart Store 17,Dubai,Mall,"martes, 29 de agosto de 2017"
18,BlueMart Store 18,Abu Dhabi,Community,"jueves, 28 de septiembre de 2017"
19,BlueMart Store 19,Dubai,Mall,"viernes, 31 de marzo de 2017"
20,BlueMart Store 20,Dubai,Community,"sábado, 8 de abril de 2017"
21,BlueMart Store 21,Abu Dhabi,High Street,"lunes, 17 de abril de 2017"
22,BlueMart Store 22,Dubai,Mall,"miércoles, 26 de abril de 2017"
23,BlueMart Store 23,Dubai,Mall,"viernes, 5 de mayo de 2017"
24,BlueMart Store 24,Dubai,Community,"domingo, 14 de mayo de 2017"
25,BlueMart Store 25,Dubai,High Street,"martes, 23 de mayo de 2017"
1,BlueMart Store 01,Dubai,Community,"jueves, 1 de junio de 2017"
26,BlueMart Store 26,Abu Dhabi,High Street,"jueves, 1 de junio de 2017"
27,BlueMart Store 27,Dubai,High Street,"sábado, 10 de junio de 2017"
28,BlueMart Store 28,Abu Dhabi,Mall,"lunes, 19 de junio de 2017"
29,BlueMart Store 29,Abu Dhabi,Mall,"miércoles, 28 de junio de 2017"
2,BlueMart Store 02,Sharjah,High Street,"sábado, 1 de julio de 2017"
30,BlueMart Store 30,Dubai,Mall,"jueves, 6 de julio de 2017"
31,BlueMart Store 31,Abu Dhabi,Community,"sábado, 15 de julio de 2017"
32,BlueMart Store 32,Dubai,High Street,"lunes, 24 de julio de 2017"
3,BlueMart Store 03,Abu Dhabi,Community,"lunes, 31 de julio de 2017"
33,BlueMart Store 33,Dubai,Mall,"miércoles, 2 de agosto de 2017"
34,BlueMart Store 34,Sharjah,Mall,"viernes, 11 de agosto de 2017"
35,BlueMart Store 35,Sharjah,Mall,"domingo, 20 de agosto de 2017"
36,BlueMart Store 36,Sharjah,Mall,"martes, 29 de agosto de 2017"
4,BlueMart Store 04,Abu Dhabi,Community,"miércoles, 30 de agosto de 2017"
37,BlueMart Store 37,Dubai,High Street,"jueves, 7 de septiembre de 2017"
38,BlueMart Store 38,Dubai,High Street,"sábado, 16 de septiembre de 2017"
39,BlueMart Store 39,Abu Dhabi,Community,"lunes, 25 de septiembre de 2017"
5,BlueMart Store 05,Dubai,High Street,"viernes, 29 de septiembre de 2017"
40,BlueMart Store 40,Dubai,High Street,"martes, 3 de octubre de 2017"
41,BlueMart Store 41,Dubai,Mall,"jueves, 12 de octubre de 2017"
42,BlueMart Store 42,Dubai,High Street,"sábado, 21 de octubre de 2017"
6,BlueMart Store 06,Dubai,Community,"domingo, 29 de octubre de 2017"
43,BlueMart Store 43,Dubai,High Street,"lunes, 30 de octubre de 2017"
44,BlueMart Store 44,Sharjah,High Street,"miércoles, 8 de noviembre de 2017"
45,BlueMart Store 45,Dubai,High Street,"viernes, 17 de noviembre de 2017"
46,BlueMart Store 46,Abu Dhabi,High Street,"domingo, 26 de noviembre de 2017"
7,BlueMart Store 07,Dubai,Mall,"martes, 28 de noviembre de 2017"
47,BlueMart Store 47,Dubai,High Street,"martes, 5 de diciembre de 2017"
48,BlueMart Store 48,Abu Dhabi,High Street,"jueves, 14 de diciembre de 2017"
49,BlueMart Store 49,Abu Dhabi,Mall,"sábado, 23 de diciembre de 2017"
8,BlueMart Store 08,Sharjah,Mall,"jueves, 28 de diciembre de 2017"
50,BlueMart Store 50,Dubai,Mall,"lunes, 1 de enero de 2018"
